Date,Wordle,Word,Score
2022-07-14,390,liver,10
2022-07-15,391,wedge,10
2022-07-16,392,roomy,10
2022-07-17,393,wacky,10
2022-07-18,394,flock,5
2022-07-19,395,angry,5
2022-07-20,396,trite,8
2022-07-21,397,aphid,8
2022-07-22,398,tryst,5
2022-07-23,399,midge,8
2022-07-24,400,power,9
2022-07-25,401,elope,6
2022-07-26,402,cinch,4
2022-07-27,403,motto,7
2022-07-28,404,stomp,8
2022-07-29,405,upset,7
2022-07-30,406,bluff,8
2022-07-31,407,cramp,7
2022-08-01,408,quart,7
2022-08-02,409,coyly,5
2022-08-03,410,youth,6
2022-08-04,411,rhyme,7
2022-08-05,412,buggy,9
2022-08-06,413,alien,3
2022-08-07,414,smear,7
2022-08-08,415,unfit,7
2022-08-09,416,patty,10
2022-08-10,417,cling,3
2022-08-11,418,glean,5
2022-08-12,419,label,5
2022-08-13,420,hunky,8
2022-08-14,421,khaki,7
2022-08-15,422,poker,5
2022-08-16,423,gruel,5
2022-08-17,424,twice,3
2022-08-18,425,twang,4
2022-08-19,426,shrug,7
2022-08-20,427,treat,4
2022-08-21,428,waste,6
2022-08-22,429,merit,5
2022-08-23,430,woven,7
2022-08-24,431,needy,7
2022-08-25,432,clown,3
2022-08-26,433,irony,3
2022-08-27,434,ruder,9
2022-08-28,435,gauze,10
2022-08-29,436,chief,4
2022-08-30,437,onset,3
2022-08-31,438,prize,9
2022-09-01,439,fungi,7
2022-09-02,440,charm,7
2022-09-03,441,gully,7
2022-09-04,442,inter,4
2022-09-05,443,whoop,8
2022-09-06,444,taunt,4
2022-09-07,445,leery,5
2022-09-08,446,class,8
2022-09-09,447,theme,6
2022-09-10,448,lofty,5
2022-09-11,449,tibia,4
2022-09-12,450,booze,8
2022-09-13,451,alpha,9
2022-09-14,452,thyme,8
2022-09-15,453,doubt,5
2022-09-16,454,parer,8
2022-09-17,455,chute,4
2022-09-18,456,stick,4
2022-09-19,457,trice,3
2022-09-20,458,alike,3
2022-09-21,459,recap,6
2022-09-22,460,saint,3
2022-09-23,461,glory,4
2022-09-24,462,grate,4
2022-09-25,463,admit,5
2022-09-26,464,brisk,4
2022-09-27,465,soggy,9
2022-09-28,466,usurp,7
2022-09-29,467,scald,4
2022-09-30,468,scorn,3
2022-10-01,469,leave,6
2022-10-02,470,twine,4
2022-10-03,471,sting,4
2022-10-04,472,bough,8
2022-10-05,473,marsh,7
2022-10-06,474,sloth,4
2022-10-07,475,dandy,6
2022-10-08,476,vigor,9
2022-10-09,477,howdy,8
2022-10-10,478,enjoy,5
2022-10-11,479,valid,6
2022-10-12,480,ionic,3
2022-10-13,481,equal,6
2022-10-14,482,floor,4
2022-10-15,483,catch,5
2022-10-16,484,spade,6
2022-10-17,485,stein,5
2022-10-18,486,exist,4
2022-10-19,487,quirk,7
2022-10-20,488,denim,4
2022-10-21,489,grove,9
2022-10-22,490,spiel,5
2022-10-23,491,mummy,12
2022-10-24,492,fault,5
2022-10-25,493,foggy,8
2022-10-26,494,flout,5
2022-10-27,495,carry,5
2022-10-28,496,sneak,6
2022-10-29,497,libel,6
2022-10-30,498,waltz,7
2022-10-31,499,aptly,4
2022-11-01,500,piney,7
2022-11-02,501,inept,4
2022-11-03,502,aloud,8
2022-11-04,503,photo,8
2022-11-05,504,dream,4
2022-11-06,505,stale,3
2022-11-07,506,begin,3
2022-11-08,507,spell,8
2022-11-09,508,rainy,3
2022-11-10,509,unite,3
2022-11-11,510,medal,5
2022-11-12,511,valet,6
2022-11-13,512,inane,4
2022-11-14,513,maple,11
2022-11-15,514,snarl,3
2022-11-16,515,baker,4
2022-11-17,516,there,4
2022-11-18,517,glyph,8
2022-11-19,518,avert,6
2022-11-20,519,brave,6
2022-11-21,520,axiom,5
2022-11-22,521,prime,8
2022-11-23,522,drive,6
2022-11-24,523,feast,4
2022-11-25,524,itchy,5
2022-11-26,525,clean,3
2022-11-27,526,happy,11
2022-11-28,527,tepid,4
2022-11-29,528,undue,6
2022-11-30,529,study,9
2022-12-01,530,eject,4
2022-12-02,531,chafe,5
2022-12-03,532,torso,5
2022-12-04,533,adore,4
2022-12-05,534,woken,8
2022-12-06,535,amber,4
2022-12-07,536,joust,6
2022-12-08,537,infer,4
2022-12-09,538,braid,4
2022-12-10,539,knock,4
2022-12-11,540,naive,5
2022-12-12,541,apply,7
2022-12-13,542,spoke,7
2022-12-14,543,usual,6
2022-12-15,544,rival,4
2022-12-16,545,probe,5
2022-12-17,546,chord,5
2022-12-18,547,taper,7
2022-12-19,548,slate,3
2022-12-20,549,third,4
2022-12-21,550,lunar,3
2022-12-22,551,excel,4
2022-12-23,552,aorta,3
2022-12-24,553,poise,5
2022-12-25,554,extra,4
2022-12-26,555,judge,7
2022-12-27,556,condo,4
2022-12-28,557,impel,4
2022-12-29,558,havoc,4
2022-12-30,559,molar,4
2022-12-31,560,manly,4
2023-01-01,561,whine,7
2023-01-02,562,skirt,5
2023-01-03,563,antic,4
2023-01-04,564,layer,14
2023-01-05,565,sleek,4
2023-01-06,566,belie,4
2023-01-07,567,lemon,4
2023-01-08,568,opera,4
2023-01-09,569,pixie,9
2023-01-10,570,grimy,8
2023-01-11,571,sedan,4
2023-01-12,572,leapt,3
2023-01-13,573,human,6
2023-01-14,574,koala,3
2023-01-15,575,spire,6
2023-01-16,576,frock,5
2023-01-17,577,adopt,4
2023-01-18,578,chard,5
2023-01-19,579,mucky,10
2023-01-20,580,alter,4
2023-01-21,581,blurb,6
2023-01-22,582,matey,8
2023-01-23,583,elude,5
2023-01-24,584,count,3
2023-01-25,585,maize,5
2023-01-26,586,beefy,8
2023-01-27,587,worry,13
2023-01-28,588,flirt,3
2023-01-29,589,fishy,7
2023-01-30,590,crave,8
2023-01-31,591,cross,6
2023-02-01,592,scold,3
2023-02-02,593,shirk,5
2023-02-03,594,tasty,8
2023-02-04,595,unlit,4
2023-02-05,596,dance,3
2023-02-06,597,ninth,8
2023-02-07,598,apple,9
2023-02-08,599,flail,5
2023-02-09,600,stage,5
2023-02-10,601,heady,5
2023-02-11,602,debug,6
2023-02-12,603,giant,3
2023-02-13,604,usage,5
2023-02-14,605,sound,4
2023-02-15,606,salsa,5
2023-02-16,607,magic,5
2023-02-17,608,cache,4
2023-02-18,609,avail,3
2023-02-19,610,kiosk,4
2023-02-20,611,sweat,7
2023-02-21,612,ruddy,7
2023-02-22,613,riper,14
2023-02-23,614,vague,7
2023-02-24,615,arbor,3
2023-02-25,616,fifty,7
2023-02-26,617,syrup,7
2023-02-27,618,worse,7
2023-02-28,619,polka,5
2023-03-01,620,moose,6
2023-03-02,621,above,5
2023-03-03,622,squat,8
2023-03-04,623,trend,3
2023-03-05,624,toxic,6
2023-03-06,625,pinky,11
2023-03-07,626,horse,5
2023-03-08,627,regal,6
2023-03-09,628,where,8
2023-03-10,629,revel,9
2023-03-11,630,email,4
2023-03-12,631,birth,4
2023-03-13,632,blame,5
2023-03-14,633,surly,3
2023-03-15,634,sweep,8
2023-03-16,635,cider,4
2023-03-17,636,mealy,5
2023-03-18,637,yacht,5
2023-03-19,638,credo,3
2023-03-20,639,glove,8
2023-03-21,640,tough,10
2023-03-22,641,duvet,5
2023-03-23,642,staid,4
2023-03-24,643,grout,5
2023-03-25,644,voter,5
2023-03-26,645,untie,4
2023-03-27,646,guano,4
2023-03-28,647,hurry,5
2023-03-29,648,beset,4
2023-03-30,649,bread,4
2023-03-31,650,every,6
2023-04-01,651,march,8
2023-04-02,652,stock,4
2023-04-03,653,flora,4
2023-04-04,654,ratio,3
2023-04-05,655,smash,10
2023-04-06,656,leafy,7
2023-04-07,657,locus,7
2023-04-08,658,ledge,6
2023-04-09,659,snafu,5
2023-04-10,660,under,5
2023-04-11,661,qualm,8
2023-04-12,662,borax,6
2023-04-13,663,carat,3
2023-04-14,664,thief,4
2023-04-15,665,agony,3
2023-04-16,666,dwelt,3
2023-04-17,667,whiff,10
2023-04-18,668,hound,6
2023-04-19,669,thump,9
2023-04-20,670,plate,7
2023-04-21,671,kayak,6
2023-04-22,672,broke,4
2023-04-23,673,unzip,9
2023-04-24,674,ditto,5
2023-04-25,675,joker,8
2023-04-26,676,metro,4
2023-04-27,677,logic,4
2023-04-28,678,circa,5
2023-04-29,679,cedar,4
2023-04-30,680,plaza,7
2023-05-01,681,range,6
2023-05-02,682,sulky,10
2023-05-03,683,horde,4
2023-05-04,684,guppy,6
2023-05-05,685,below,5
2023-05-06,686,anger,4
2023-05-07,687,ghoul,5
2023-05-08,688,aglow,5
2023-05-09,689,cocoa,4
2023-05-10,690,ethic,3
2023-05-11,691,broom,7
2023-05-12,692,snack,3
2023-05-13,693,acrid,3
2023-05-14,694,scarf,3
2023-05-15,695,canoe,3
2023-05-16,696,latte,5
2023-05-17,697,plank,6
2023-05-18,698,shorn,4
2023-05-19,699,grief,5
2023-05-20,700,flask,4
2023-05-21,701,brash,3
2023-05-22,702,igloo,6
2023-05-23,703,clerk,4
2023-05-24,704,utter,10
2023-05-25,705,bagel,5
2023-05-26,706,swine,7
2023-05-27,707,ramen,5
2023-05-28,708,skimp,6
2023-05-29,709,mouse,8
2023-05-30,710,kneel,6
2023-05-31,711,agile,3
2023-06-01,712,jazzy,10
2023-06-02,713,humid,5
2023-06-03,714,nanny,9
2023-06-04,715,beast,3
2023-06-05,716,ennui,5
2023-06-06,717,scout,4
2023-06-07,718,hater,7
2023-06-08,719,crumb,8
2023-06-09,720,balsa,3
2023-06-10,721,again,3
2023-06-11,722,guard,5
2023-06-12,723,wrong,8
2023-06-13,724,plunk,6
2023-06-14,725,crime,3
2023-06-15,726,maybe,7
2023-06-16,727,strap,8
2023-06-17,728,ranch,5
2023-06-18,729,shyly,4
2023-06-19,730,kazoo,9
2023-06-20,731,frost,3
2023-06-21,732,crane,1
2023-06-22,733,taste,4
2023-06-23,734,covet,5
2023-06-24,735,grand,4
2023-06-25,736,rodeo,6
2023-06-26,737,guest,8
2023-06-27,738,about,5
2023-06-28,739,tract,4
2023-06-29,740,diner,4
2023-06-30,741,straw,9
2023-07-01,742,bleep,5
2023-07-02,743,mossy,7
2023-07-03,744,hotel,4
2023-07-04,745,irate,3
2023-07-05,746,venom,6
2023-07-06,747,windy,10
2023-07-07,748,donut,3
2023-07-08,749,cower,9
2023-07-09,750,enter,3
2023-07-10,751,folly,5
2023-07-11,752,earth,4
2023-07-12,753,whirl,5
2023-07-13,754,barge,6
2023-07-14,755,fiend,4
2023-07-15,756,crone,3
2023-07-16,757,topaz,6
2023-07-17,758,droop,9
2023-07-18,759,flyer,7
2023-07-19,760,tonic,3
2023-07-20,761,flank,5
2023-07-21,762,burly,3
2023-07-22,763,froze,8
2023-07-23,764,whale,5
2023-07-24,765,hobby,7
2023-07-25,766,wheel,10
2023-07-26,767,heart,4
2023-07-27,768,disco,3
2023-07-28,769,ethos,3
2023-07-29,770,curly,4
2023-07-30,771,bathe,4
2023-07-31,772,style,6
2023-08-01,773,tenth,5
2023-08-02,774,beget,5
2023-08-03,775,party,6
2023-08-04,776,chart,3
2023-08-05,777,anode,3
2023-08-06,778,polyp,7
2023-08-07,779,brook,5
2023-08-08,780,bully,7
2023-08-09,781,lover,7
2023-08-10,782,empty,6
2023-08-11,783,hello,4
2023-08-12,784,quick,8
2023-08-13,785,wrath,7
2023-08-14,786,snaky,5
2023-08-15,787,index,6
2023-08-16,788,scrub,8
2023-08-17,789,amiss,8
2023-08-18,790,exact,5
2023-08-19,791,magma,9
2023-08-20,792,quest,8
2023-08-21,793,beach,3
2023-08-22,794,spice,5
2023-08-23,795,verve,12
2023-08-24,796,wordy,8
2023-08-25,797,ocean,3
2023-08-26,798,choir,3
2023-08-27,799,peace,4
2023-08-28,800,write,5
2023-08-29,801,caper,6
2023-08-30,802,audio,5
2023-08-31,803,bride,5
2023-09-01,804,space,4
2023-09-02,805,onion,5
2023-09-03,806,await,3
2023-09-04,807,giddy,6
2023-09-05,808,birch,4
2023-09-06,809,gnash,3
2023-09-07,810,dwell,6
2023-09-08,811,rouse,5
2023-09-09,812,lucky,7
2023-09-10,813,quote,7
2023-09-11,814,older,5
2023-09-12,815,whisk,7
2023-09-13,816,clear,3
2023-09-14,817,rayon,8
2023-09-15,818,exert,6
2023-09-16,819,angel,4
2023-09-17,820,music,6
2023-09-18,821,frank,5
2023-09-19,822,close,3
2023-09-20,823,snare,3
2023-09-21,824,stone,3
2023-09-22,825,brush,5
2023-09-23,826,carol,3
2023-09-24,827,right,7
2023-09-25,828,rocky,4
2023-09-26,829,loyal,8
2023-09-27,830,smile,4
2023-09-28,831,coach,3
2023-09-29,832,azure,5
2023-09-30,833,daddy,5
2023-10-01,834,beret,4
2023-10-02,835,merry,10
2023-10-03,836,while,6
2023-10-04,837,spurt,5
2023-10-05,838,bunch,6
2023-10-06,839,chime,4
2023-10-07,840,viola,4
2023-10-08,841,binge,4
2023-10-09,842,truth,9
2023-10-10,843,snail,4
2023-10-11,844,skunk,5
2023-10-12,845,knelt,3
2023-10-13,846,uncle,5
2023-10-14,847,agent,3
2023-10-15,848,leaky,8
2023-10-16,849,graph,9
2023-10-17,850,adult,3
2023-10-18,851,mercy,6
2023-10-19,852,splat,4
2023-10-20,853,occur,5
2023-10-21,854,smirk,6
2023-10-22,855,given,4
2023-10-23,856,tempo,4
2023-10-24,857,cause,5
2023-10-25,858,retry,5
2023-10-26,859,pique,13
2023-10-27,860,noble,3
2023-10-28,861,mason,5
2023-10-29,862,phony,6
2023-10-30,863,grail,6
2023-10-31,864,bleak,5
2023-11-01,865,noise,3
2023-11-02,866,until,5
2023-11-03,867,ardor,4
2023-11-04,868,mania,5
2023-11-05,869,flare,4
2023-11-06,870,trade,4
2023-11-07,871,limit,7
2023-11-08,872,ninja,8
2023-11-09,873,glaze,8
2023-11-10,874,leash,3
2023-11-11,875,actor,3
2023-11-12,876,meant,4
2023-11-13,877,green,5
2023-11-14,878,sassy,8
2023-11-15,879,sight,6
2023-11-16,880,trust,4
2023-11-17,881,tardy,5
2023-11-18,882,think,6
2023-11-19,883,queue,8
2023-11-20,884,candy,6
2023-11-21,885,piano,3
2023-11-22,886,pixel,9
2023-11-23,887,queen,9
2023-11-24,888,throw,5
2023-11-25,889,guide,5
2023-11-26,890,solid,4
2023-11-27,891,tawny,5
2023-11-28,892,scope,4
2023-11-29,893,sushi,8
2023-11-30,894,resin,3
2023-12-01,895,taken,3
2023-12-02,896,genre,4
2023-12-03,897,adapt,4
2023-12-04,898,worst,4
2023-12-05,899,young,5
2023-12-06,900,woman,11
2023-12-07,901,sleep,5
2023-12-08,902,sharp,8
2023-12-09,903,shift,4
2023-12-10,904,chain,3
2023-12-11,905,house,6
2023-12-12,906,these,5
2023-12-13,907,spent,6
2023-12-14,908,would,7
2023-12-15,909,topic,4
2023-12-16,910,globe,5
2023-12-17,911,bacon,4
2023-12-18,912,funny,6
2023-12-19,913,table,3
2023-12-20,914,small,4
2023-12-21,915,built,4
2023-12-22,916,touch,6
2023-12-23,917,slope,4
2023-12-24,918,grace,4
2023-12-25,919,evoke,8
2023-12-26,920,phone,6
2023-12-27,921,daisy,5
2023-12-28,922,learn,3
2023-12-29,923,child,4
2023-12-30,924,three,6
2023-12-31,925,salty,5
2024-01-01,926,mural,7
2024-01-02,927,aging,4
2024-01-03,928,twirl,4
2024-01-04,929,scant,3
2024-01-05,930,lunge,5
2024-01-06,931,cable,3
2024-01-07,932,stony,8
2024-01-08,933,final,5
2024-01-09,934,liner,3
2024-01-10,935,threw,5
2024-01-11,936,brief,4
2024-01-12,937,route,6
2024-01-13,938,heard,5
2024-01-14,939,doing,4
2024-01-15,940,lunch,6
2024-01-16,941,blond,4
